path,kind,size_bytes,line_count,sha256
.gitignore,text,75,12,c40218438283d1af
Directory.Build.props,text,809,16,cd22e2db1396b69b
IdeaCadConnector.sln,text,4212,59,d1f69f0fa9a21033
README.md,text,14421,230,6df47b6a73a68439
RegisterSkipStrongName.reg,text,1419,30,933c0e08d56aa579
docs/PHASE-GOVERNANCE.md,text,4852,122,35e3f87d9136bead
docs/part-library/README.md,text,3702,59,004a453b1678d329
docs/part-library/STATUS.md,text,14768,266,14f99e8db68f2a49
docs/part-library/phase-1/ACCEPTANCE.md,text,2431,82,4b2fc58ff4a162b4
docs/part-library/phase-1/DEPLOYMENT.md,text,3423,116,c4ba62bb7990cbb0
docs/part-library/phase-1/DESIGN.md,text,3914,98,d3aad793c946d9c1
docs/part-library/phase-1/FINAL-STATUS.md,text,1768,47,a5f69a94fa91d960
docs/part-library/phase-2/ACCEPTANCE.md,text,15743,381,da6158ddab28ff6b
docs/part-library/phase-2/DEPLOYMENT.md,text,5364,106,5b4890849ee3d9b7
docs/part-library/phase-2/DESIGN.md,text,13230,228,512a8cd3513e9343
docs/part-library/phase-2/README.md,text,14027,281,6bf17f1e5780cbc2
docs/part-library/phase-2/Sprint-2.4-UAT-Checklist.md,text,4601,129,cb268d5aba4a9af8
docs/part-library/phase-3/ACCEPTANCE.md,text,11027,296,27d3cefa07e85fb4
docs/part-library/phase-3/DEPLOYMENT.md,text,4555,128,37a2c255fb73248a
docs/part-library/phase-3/DESIGN.md,text,5063,125,6d2dd25f0eb8e3b9
docs/part-library/phase-3/ENVIRONMENT-CONFIGURATION.md,text,6212,139,e4e30aede349fab9
docs/part-library/phase-3/GO-NO-GO-CHECKLIST.md,text,2660,91,c5b58641b9c1defc
docs/part-library/phase-3/INSTALLATION-HARDENING.md,text,2106,67,8a2c0002a27b734a
docs/part-library/phase-3/INTERNAL-UAT-RESULT-TEMPLATE.md,text,1472,70,c02c12d98a9c1f1a
docs/part-library/phase-3/IT-HANDOFF.md,text,3231,102,0bad3bf1b424a83d
docs/part-library/phase-3/KNOWN-LIMITATIONS.md,text,1479,48,c89183a3bb227e1f
docs/part-library/phase-3/MACHINE-READINESS.md,text,2155,57,cec9e4f758a43b24
docs/part-library/phase-3/PHASE-3-CLOSEOUT-PLAN.md,text,2066,66,8102ccd8e225e627
docs/part-library/phase-3/PRODUCTION-READINESS.md,text,2905,95,732577845096c255
docs/part-library/phase-3/README.md,text,9654,244,fafb9cfaa8741cb1
docs/part-library/phase-3/RELEASE-MANIFEST-v0.3.0-rc1.md,text,2193,108,39bd4e2742541b1a
docs/part-library/phase-3/RELEASE-NOTES-v0.3.0-rc1.md,text,1071,32,0ffed7680370c22f
docs/part-library/phase-3/RELEASE-PACKAGING.md,text,3031,101,4615b56dea9feb5b
docs/part-library/phase-3/RELEASE-SIGNOFF-TEMPLATE.md,text,992,49,2b19482a89848922
docs/part-library/phase-3/ROLLBACK.md,text,1396,36,ba02344d6a10d55d
docs/part-library/phase-3/TROUBLESHOOTING.md,text,6334,194,ec16d7c58a05a789
docs/part-library/phase-3/UAT-CHECKLIST.md,text,4029,93,3e9beed6a94eb688
docs/part-library/phase-3/templates/IdeaCadConnector.environment.template.json,text,770,26,b543b5020a48c63f
docs/part-library/phase-3/templates/connection.template.json,text,503,17,df0545fef3199208
docs/part-library/references/schemas/UI_State_Matrix.csv,text,3394,23,ddc63094f268e282
docs/part-library/references/schemas/library-references.example.json,text,709,24,a202d68bd7794cb2
docs/part-library/references/schemas/part-library-schema.csv,text,1303,25,75c70e35cd72cf7f
lib/README.md,text,995,32,495944dae78bedf5
package-lock.json,text,95,7,79ca354120b67903
package.json,text,3,2,ca3d163bab055381
src/IdeaCadConnector.Aras/ArasAmlClient.cs,text,18452,449,fe7f09ca45ecb0df
src/IdeaCadConnector.Aras/ArasAuthenticator.cs,text,6923,171,6ee386a7f5b2ca6a
src/IdeaCadConnector.Aras/ArasCadClient.cs,text,46372,1092,81e8ac70b4412182
src/IdeaCadConnector.Aras/ArasClientOptions.cs,text,745,24,64cbcfe5e106be50
src/IdeaCadConnector.Aras/ArasHttpClient.cs,text,8692,212,7eaaeb01e421cad3
src/IdeaCadConnector.Aras/ArasSoapClient.cs,text,6426,167,bed07614992ccca3
src/IdeaCadConnector.Aras/HttpArasCadClient.cs,text,46461,1106,d00ecaf6efb3455b
src/IdeaCadConnector.Aras/HttpPartLibraryClient.cs,text,158813,3566,316d5dc9ec0938a9
src/IdeaCadConnector.Aras/HttpPdmRepositoryClient.cs,text,88287,1925,be15bf90eb69895a
src/IdeaCadConnector.Aras/IArasAmlClient.cs,text,637,22,ec6bef959f0c0615
src/IdeaCadConnector.Aras/IdeaCadConnector.Aras.csproj,text,580,17,c6707901511fd98e
src/IdeaCadConnector.Aras/PartSearchClient.cs,text,8990,233,f4ddf2b925e42b28
src/IdeaCadConnector.Aras/Properties/AssemblyInfo.cs,text,429,4,6bb0ba3a44e82f7a
src/IdeaCadConnector.Aras/ServerMethods/idea_AddPartToLibrary.cs,text,9042,405,7e806a2313adc81c
src/IdeaCadConnector.Aras/ServerMethods/idea_CommitCadCheckin.cs,text,4034,95,ee5b303d8f2a4432
src/IdeaCadConnector.Aras/ServerMethods/idea_EnsurePrimaryIronCadPartCad.cs,text,7324,228,b170a9b6f9226920
src/IdeaCadConnector.Aras/ServerMethods/idea_GetPrimaryIronCadForPart.cs,text,3963,163,03efb61a719e76b2
src/IdeaCadConnector.Aras/ServerMethods/idea_RecordPartLibraryUsage.cs,text,11586,564,6752cd76841e4ec5
src/IdeaCadConnector.Aras/ServerMethods/idea_ReviseCad.cs,text,7157,200,c336078727e17377
src/IdeaCadConnector.Aras/ServerMethods/idea_StartDetailedDesign.cs,text,1809,60,d159667823ff50c9
src/IdeaCadConnector.Aras/ServerMethods/idea_SyncPartLibraryEntryStatus.cs,text,1329,43,6b4e1fb1d1853415
src/IdeaCadConnector.Aras/VaultClient.cs,text,6251,148,0418266fd668be6e
src/IdeaCadConnector.Core/Cad/CadConstants.cs,text,1053,22,75d88a9300bea4cc
src/IdeaCadConnector.Core/Cad/CadLifecyclePolicy.cs,text,15559,382,065e142e049a8810
src/IdeaCadConnector.Core/Cad/CadNodeHelper.cs,text,1925,54,7e5cad285b0f499b
src/IdeaCadConnector.Core/Cad/CadOpenMode.cs,text,127,9,0c268df237e9ed90
src/IdeaCadConnector.Core/Cad/CadSelectFields.cs,text,362,12,91467baa97a57a1c
src/IdeaCadConnector.Core/Cad/WorkflowActionMapper.cs,text,2407,69,8b66b412fd2c73d0
src/IdeaCadConnector.Core/Configuration/EnvironmentConfiguration.cs,text,1965,53,dca530c23adfbff3
src/IdeaCadConnector.Core/Configuration/EnvironmentConfigurationLoader.cs,text,6706,187,773992e1f3ef32e8
src/IdeaCadConnector.Core/Contracts/IArasCadClient.cs,text,1845,46,77725a63ef414a2f
src/IdeaCadConnector.Core/Contracts/ICadApplicationAdapter.cs,text,576,23,e0e21a086fd5a52e
src/IdeaCadConnector.Core/Contracts/IPdmRepositoryClient.cs,text,10793,244,e42237d97a279bee
src/IdeaCadConnector.Core/Contracts/IRevisionService.cs,text,482,20,4fc06f3695287af8
src/IdeaCadConnector.Core/Dto/ArasLoginRequest.cs,text,290,14,b96fc977a87ffc62
src/IdeaCadConnector.Core/Dto/ArasLoginResult.cs,text,390,18,1105fa70c67fc312
src/IdeaCadConnector.Core/Dto/CadBusinessAction.cs,text,1036,34,7ca7c38e7f280614
src/IdeaCadConnector.Core/Dto/CadBusinessActionKind.cs,text,264,15,2561d15fe2c5e780
src/IdeaCadConnector.Core/Dto/CadCheckinRequest.cs,text,788,33,daa268e9be748292
src/IdeaCadConnector.Core/Dto/CadCheckinResult.cs,text,285,14,2a6612788a65f008
src/IdeaCadConnector.Core/Dto/CadCheckoutRequest.cs,text,190,10,def3a294cce4e5b9
src/IdeaCadConnector.Core/Dto/CadCheckoutResult.cs,text,401,18,db7fe1defd13fc34
src/IdeaCadConnector.Core/Dto/CadDocumentInfo.cs,text,286,14,e5b802a08482bd77
src/IdeaCadConnector.Core/Dto/CadMetadata.cs,text,783,34,cee6b64919f2f1af
src/IdeaCadConnector.Core/Dto/CadOpenReadOnlyRequest.cs,text,194,10,3b7574b225ec9b34
src/IdeaCadConnector.Core/Dto/CadOperationContext.cs,text,1568,49,c0033866dc67ce30
src/IdeaCadConnector.Core/Dto/CadSummary.cs,text,573,26,5898b240776ac370
src/IdeaCadConnector.Core/Dto/CadWorkflowPath.cs,text,378,17,0fb0fc269c370595
src/IdeaCadConnector.Core/Dto/CadWorkflowTask.cs,text,1106,34,0dd1769f7c49b1fa
src/IdeaCadConnector.Core/Dto/CancelCheckoutRequest.cs,text,196,10,98e9417a5fb43a15
src/IdeaCadConnector.Core/Dto/CancelCheckoutResult.cs,text,193,10,6ed2aecf81f05c32
src/IdeaCadConnector.Core/Dto/CreateCadRequest.cs,text,251,12,7914f3f33a42a6d3
src/IdeaCadConnector.Core/Dto/CreateCadResult.cs,text,251,12,75db96fea99d583e
src/IdeaCadConnector.Core/Dto/ExecuteCadBusinessActionRequest.cs,text,907,29,2c47778812628691
src/IdeaCadConnector.Core/Dto/FileUploadRequest.cs,text,305,14,01a7dc19f595b274
src/IdeaCadConnector.Core/Dto/FileUploadResult.cs,text,294,14,e64ecc5326260f3d
src/IdeaCadConnector.Core/Dto/Library/LibraryEntryBomDetails.cs,text,835,37,fdb3118aa81ce570
src/IdeaCadConnector.Core/Dto/Library/LibraryEntryCadDetails.cs,text,592,26,53fbda90429e66cb
src/IdeaCadConnector.Core/Dto/Library/LibraryEntryDetailBundle.cs,text,419,16,dbef823006021cce
src/IdeaCadConnector.Core/Dto/Library/LibraryEntryRevisionDetails.cs,text,939,39,219ff331526cca4d
src/IdeaCadConnector.Core/Dto/Library/LibraryEntryWhereUsedDetails.cs,text,811,35,6ae559b22fcc99ae
src/IdeaCadConnector.Core/Dto/Library/PartWhereUsedItem.cs,text,732,22,cb03530b633077f0
src/IdeaCadConnector.Core/Dto/PartSearchRequest.cs,text,233,12,56914cad50767019
src/IdeaCadConnector.Core/Dto/PartSearchResponse.cs,text,405,17,102cfe1a3ad4c489
src/IdeaCadConnector.Core/Dto/PartSearchResult.cs,text,204,10,e144be85dae88ebb
src/IdeaCadConnector.Core/Dto/PartSummary.cs,text,420,20,ec335ca5fe1df889
src/IdeaCadConnector.Core/Errors/ArasErrorCode.cs,text,948,31,1d92fa4f823fa1fe
src/IdeaCadConnector.Core/Errors/ArasOperationException.cs,text,782,28,cdeee3dc85b1bef9
src/IdeaCadConnector.Core/IdeaCadConnector.Core.csproj,text,242,8,b748ca0157838ddd
src/IdeaCadConnector.Core/Library/ArasOpenUrlRequest.cs,text,234,12,988c847dad5a1327
src/IdeaCadConnector.Core/Library/ArasOpenUrlResult.cs,text,323,16,0d6e347b66b96863
src/IdeaCadConnector.Core/Library/IArasOpenUrlService.cs,text,467,19,57be272f46f7c6d6
src/IdeaCadConnector.Core/Library/IBrowserLauncher.cs,text,233,11,19c65936cf508a72
src/IdeaCadConnector.Core/Library/IIronCadOpenService.cs,text,309,13,9254fca5c86f76df
src/IdeaCadConnector.Core/Library/ILibraryAuthorizationService.cs,text,424,15,6b62c8186f7b7833
src/IdeaCadConnector.Core/Library/IPartLibraryVaultService.cs,text,725,23,562ac24e855a44f7
src/IdeaCadConnector.Core/Library/IronCadOpenRequest.cs,text,415,20,b4b2746f562b9c36
src/IdeaCadConnector.Core/Library/IronCadOpenResult.cs,text,282,14,df0be28bf68cafd1
src/IdeaCadConnector.Core/Library/LibraryAuthorizationRules.cs,text,3228,88,c175317ae33d53e9
